symbol,entity_id,whyfail
ACTV,ACTV,emptyfail
SETY,SETY,emptyfail
PECN,PECN,emptyfail
WFH,WFH,emptyfail
EVAV,EVAV,emptyfail
OCFS,OCFS,emptyfail
XXCH,XXCH,emptyfail
AGL.L,AGL.L,emptyfail
RORO,RORO,emptyfail
SOLSV,SOLSV,emptyfail
LQDG.L,LQDG.L,emptyfail
FILL,FILL,emptyfail
IFRB.L,IFRB.L,emptyfail
EFRN.L,EFRN.L,emptyfail
FSUS.L,FSUS.L,emptyfail
IEL.NS,IEL.NS,emptyfail
IBGZ.L,IBGZ.L,emptyfail
CCMG,CCMG,emptyfail
WNGE.L,WNGE.L,emptyfail
MVEE.L,MVEE.L,emptyfail
AKRSX,AKRSX,emptyfail
DBOA11.SA,DBOA11.SA,emptyfail
AKRIX,AKRIX,emptyfail
AUEU.MI,AUEU.MI,emptyfail
FSGIX,FSGIX,emptyfail
NOEU.MI,NOEU.MI,emptyfail
MLHYE.PA,MLHYE.PA,emptyfail
CWRN,CWRN,emptyfail
MDGP,MDGP,emptyfail
CVSE,CVSE,emptyfail
IBIB,IBIB,emptyfail
EMISU,EMISU,emptyfail
FAKDX,FAKDX,emptyfail
HUS.VI,HUS.VI,emptyfail
PUTD,PUTD,emptyfail
MLFIR.PA,MLFIR.PA,emptyfail
MLITN.PA,MLITN.PA,emptyfail
SIELFNS.BO,SIELFNS.BO,emptyfail
KWES.L,KWES.L,emptyfail
JCTR,JCTR,emptyfail
TEMP,TEMP,emptyfail
SSPX,SSPX,emptyfail
AKREX,AKREX,emptyfail
SOFL,SOFL,emptyfail
MLIFC.PA,MLIFC.PA,emptyfail
MLNEU.BR,MLNEU.BR,emptyfail
XDOC,XDOC,emptyfail
HOCT,HOCT,emptyfail
OCTQ,OCTQ,emptyfail
TPHE,TPHE,emptyfail
TVC.V,TVC.V,emptyfail
TPLE,TPLE,emptyfail
EFCNX,EFCNX,emptyfail
ALV.JO,ALV.JO,emptyfail
OCTD,OCTD,emptyfail
OEUR,OEUR,emptyfail
DRAG,DRAG,emptyfail
LIVR,LIVR,emptyfail
MLDYN.PA,MLDYN.PA,emptyfail
ARKA,ARKA,emptyfail
ARKZ,ARKZ,emptyfail
LIONX,LIONX,emptyfail
RINC,RINC,emptyfail
MOTE,MOTE,emptyfail
MLORQ.PA,MLORQ.PA,emptyfail
CIGAX,CIGAX,emptyfail
SSETX,SSETX,emptyfail
CCPIX,CCPIX,emptyfail
EVUDX,EVUDX,emptyfail
HAPY,HAPY,emptyfail
NVSCX,NVSCX,emptyfail
MJID,MJID,emptyfail
EVSYX,EVSYX,emptyfail
AIRL,AIRL,emptyfail
BKWO,BKWO,emptyfail
BKIV,BKIV,emptyfail
KCOPX,KCOPX,emptyfail
FINE,FINE,emptyfail
EKWDX,EKWDX,emptyfail
LNDOS,LNDOS,emptyfail
HET.L,HET.L,emptyfail
RQN.TO,RQN.TO,emptyfail
RPSB.TO,RPSB.TO,emptyfail
LQDEN.MX,LQDEN.MX,emptyfail
RUBH.TO,RUBH.TO,emptyfail
RXD.TO,RXD.TO,emptyfail
CCAFX,CCAFX,emptyfail
RUBY.TO,RUBY.TO,emptyfail
QCON,QCON,emptyfail
QPFF,QPFF,emptyfail
FOOTL.BR,FOOTL.BR,emptyfail
YORKU,YORKU,emptyfail
ECLN,ECLN,emptyfail
EUROASIA.BO,EUROASIA.BO,emptyfail
NYMTH,NYMTH,emptyfail
ZZZ,ZZZ,emptyfail
MFMPX,MFMPX,emptyfail
XALCX,XALCX,emptyfail
RATE,RATE,emptyfail
FIBR,FIBR,emptyfail
CETH,CETH,emptyfail
CASH.L,CASH.L,emptyfail
MSRFX,MSRFX,emptyfail
INDF,INDF,emptyfail
IPDP,IPDP,emptyfail
CASE.L,CASE.L,emptyfail
PRCWF,PRCWF,emptyfail
IPPP,IPPP,emptyfail
QDCC,QDCC,emptyfail
HART,HART,emptyfail
3347.T,3347.T,emptyfail
HYGI,HYGI,emptyfail
FOVL,FOVL,emptyfail
AGIH,AGIH,emptyfail
IDAT,IDAT,emptyfail
CCRV,CCRV,emptyfail
ELQD,ELQD,emptyfail
MLFDV.PA,MLFDV.PA,emptyfail
NBCC,NBCC,emptyfail
ZSOUTGAS.BO,ZSOUTGAS.BO,emptyfail
ATMU.TO,ATMU.TO,emptyfail
ATMD.TO,ATMD.TO,emptyfail
RITD.TO,RITD.TO,emptyfail
RITU.TO,RITU.TO,emptyfail
UKEL.L,UKEL.L,emptyfail
IEMI.L,IEMI.L,emptyfail
FZADX,FZADX,emptyfail
LUX,LUX,emptyfail
MNTL,MNTL,emptyfail
INDRAIND.BO,INDRAIND.BO,emptyfail
CCCM,CCCM,emptyfail
CCCMU,CCCMU,emptyfail
HEMCX,HEMCX,emptyfail
HEMIX,HEMIX,emptyfail
HEMRX,HEMRX,emptyfail
HEMTX,HEMTX,emptyfail
DWL,DWL,emptyfail
DWCR,DWCR,emptyfail
FUSVX,FUSVX,emptyfail
OOTO,OOTO,emptyfail
CLDL,CLDL,emptyfail
RWED,RWED,emptyfail
FIVFX,FIVFX,emptyfail
TPMN,TPMN,emptyfail
MLDAM.PA,MLDAM.PA,emptyfail
GBUY,GBUY,emptyfail
GSFP,GSFP,emptyfail
KOCG,KOCG,emptyfail
SUSLX,SUSLX,emptyfail
DTCBD,DTCBD,emptyfail
FATBW,FATBW,emptyfail
LBDAV,LBDAV,emptyfail
GTER,GTER,emptyfail
2JPM.L,2JPM.L,emptyfail
MLVIN.PA,MLVIN.PA,emptyfail
LBDKV,LBDKV,emptyfail
GLBKV,GLBKV,emptyfail
GLBAV,GLBAV,emptyfail
RYH,RYH,emptyfail
RYU,RYU,emptyfail
RGI,RGI,emptyfail
DTCB,DTCB,emptyfail
UINE.DE,UINE.DE,emptyfail
JULQ,JULQ,emptyfail
FLHK,FLHK,emptyfail
JULD,JULD,emptyfail
A4Y.DE,A4Y.DE,emptyfail
XDJL,XDJL,emptyfail
DXJS,DXJS,emptyfail
RODE,RODE,emptyfail
DWAT,DWAT,emptyfail
PRIS.L,PRIS.L,emptyfail
DYNI,DYNI,emptyfail
MGGAX,MGGAX,emptyfail
MGGYX,MGGYX,emptyfail
NSCS,NSCS,emptyfail
HLGE,HLGE,emptyfail
PECD,PECD,emptyfail
COUK.L,COUK.L,emptyfail
GXG,GXG,emptyfail
WBAT,WBAT,emptyfail
SMI,SMI,emptyfail
OFOS,OFOS,emptyfail
5585.T,5585.T,emptyfail
FDCE,FDCE,emptyfail
FDGR,FDGR,emptyfail
FDTB,FDTB,emptyfail
FDVL,FDVL,emptyfail
INFIX,INFIX,emptyfail
MLARD.PA,MLARD.PA,emptyfail
NWSAX,NWSAX,emptyfail
PRIF-PF,PRIF-PF,emptyfail
AMPD,AMPD,emptyfail
HYLG,HYLG,emptyfail
XYLE,XYLE,emptyfail
EUSC,EUSC,emptyfail
