source,RoA,earnYield,grahamNumberToPrice,bVpRatio,revenueGrowth,incomeQuality,returnOnEquity,returnOnCapitalEmployed,currentRatio,grossProfitMargin,freeCashFlowYield,freeCashFlowPerShareGrowth,DcfToPrice,marketCapRevQuants,Altman-Z,Piotroski,tbVpRatio,BoScore,EPStoEPSmean,priceGrowth,CycleHeat,AggScore,rankOfRanks,moatScore,total_return
CFX.L,0.09035599383252879,0.6841662492093223,-0.11718402673306161,-0.07822041118627092,0.1543699883218618,0.03458943220943743,0.20783673177518697,0.16689502720013544,-0.09982058593848199,0.11664123783797187,0.8710531204699337,-0.3038415937162285,0.0,0.2988012452871465,-0.06445003442969673,-0.23105802451155288,-0.10203297503848048,0.1996196059659898,-0.059174059890021495,0.08229348622906167,0.2127920264050514,0.2063632433299833,0.6,3,0.10400273221769225
0HQ7.L,0.5539740293638411,0.42386026020497125,-0.20989987266182242,-0.15947198399169063,0.05636708447119099,0.08482000687226017,0.5273877838191997,0.22841986039115864,-0.10470543770049931,-0.12710163300310431,0.09840091846999718,0.07755343731432256,0.1589037733630253,-0.1471707626041169,-0.08581478878435239,0.7220563265986036,-0.24576717386123473,-0.07713704645752861,-0.1450565897624929,0.0640903987386481,0.2127920264050514,0.19065006171854276,1.0,4,0.6425613125969742
BKE,0.5539740293638411,0.42386026020497125,-0.20989987266182242,-0.15947198399169063,0.05636708447119099,0.08482000687226017,0.5273877838191997,0.22841986039115864,-0.10470543770049931,-0.12710163300310431,0.09840091846999718,0.07755343731432256,0.1589037733630253,-0.1471707626041169,-0.08581478878435239,0.7220563265986036,-0.24576717386123473,-0.07713704645752861,-0.1450565897624929,0.0640903987386481,0.2127920264050514,0.19065006171854276,1.0,4,0.6425613125969742
RFX.L,0.16468684166169867,1.8589533786563384,-0.10380283509081742,0.0,-0.7114475334743005,-0.021850194334795937,0.207917344719946,0.15441382985132118,-0.08777411962849281,0.2940582193558008,0.4880417996292295,0.6029391124726009,0.3603659196147631,0.2988012452871465,-0.06417659156063699,-0.23105802451155288,-0.11284691610500337,0.009792927701139752,-0.1450565897624929,0.07583694425000312,-1.2986704996394387,0.1739124259092457,0.4,5,0.32634330299686254
0QNG.L,-0.13698875053911463,0.11862330774293775,-0.10997777560985196,-0.02836785917667759,1.4709046026781547,0.24649675887498898,0.06041484820546043,0.07477103688836552,-0.123862175428235,-0.053743049369021176,-1.0216579819363394,0.051861581160382655,-0.5928801012154059,0.07581524134151478,-0.077288640074391,1.1986135021536821,-0.01616720000492119,0.05237087422783551,0.24276374365913533,0.0831347836468866,0.2127920264050514,0.17276287736304383,0.9,3,0.7058412237959016
0IJO.L,-0.2465428545805862,-0.7283004579947739,-0.27789590220728383,-0.1433882131821342,-0.5103217389456719,1.327137544955823,0.01932327717575545,0.06501213598652228,0.02702384310548838,1.3995395177520722,-0.6118813254826125,0.47976688659410827,0.5589109074077572,-0.1471707626041169,0.14773616081007268,0.24549915104352538,-0.2219399781149525,-0.07358888424697088,-0.09219141337958264,0.06405241165447713,0.2127920264050514,0.14935723321519678,2.1,4,1.4993765586034917
EXEL,-0.2465428545805862,-0.7283004579947739,-0.27789590220728383,-0.1433882131821342,-0.5103217389456719,1.327137544955823,0.01932327717575545,0.06501213598652228,0.02702384310548838,1.3995395177520722,-0.6118813254826125,0.47976688659410827,0.5589109074077572,-0.1471707626041169,0.14773616081007268,0.24549915104352538,-0.2219399781149525,-0.07358888424697088,-0.09219141337958264,0.06405241165447713,0.2127920264050514,0.14935723321519678,2.1,4,1.4993765586034917
HNNAZ,-0.3093528468731302,0.1801723176908381,-0.06419442852730174,0.09135698072886254,0.8733057398415158,0.10144696940618902,0.0160532483841945,0.06601976357863783,0.1630866354120646,0.24901178900801152,0.1475581872103672,-0.2374108629279321,0.0,0.2988012452871465,-0.08757650541785833,-0.23105802451155288,0.19824274913107856,-0.07536296535224975,-0.18518248808583532,0.04921199295974718,-0.08533210790109574,0.11587973890416976,1.3,6,0.40975064959683366
SAFT,-0.38843973638539264,-0.1783049812051538,-0.16871464185787993,-0.05525822226289133,0.11873176338383774,0.3072773439921121,0.04027328598227374,0.030586348735802373,0.13679884560831757,1.516399984142935,-0.40252497270238663,-0.5628766949223001,0.0,-0.1471707626041169,-0.10987181010062781,1.1986135021536821,-0.13744170941268902,-0.08245928977336571,-0.1450565897624929,0.056286589493208646,0.008331504360016544,0.10351797568628893,4.0,5,-0.029621920939400997
HNNA,-0.3093528468731302,0.1801723176908381,-0.06419442852730174,0.09135698072886254,0.8733057398415158,0.10144696940618902,0.0160532483841945,0.06601976357863783,0.1630866354120646,0.24901178900801152,0.1475581872103672,-0.2374108629279321,0.0,0.2988012452871465,-0.08757650541785833,-0.23105802451155288,0.19824274913107856,-0.07536296535224975,-0.18518248808583532,0.04921199295974718,-0.21785909147227375,0.10262704054705196,1.6,6,0.40975064959683366
