as_of,logged_at,filter_commit,list,rank,ticker,company,aggscore
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,6,HBT,"HBT Financial, Inc.",1.1544567048795986
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,7,PGC,Peapack-Gladstone Financial Corporation,1.0886575270785146
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,8,ACT,Enact Holdings Inc.,0.1427463351255668
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,9,ATLC,Atlanticus Holdings Corporation,-0.14680875810969995
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,10,FVCB,"FVCBankcorp, Inc.",-0.20923409231661644
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,11,SYF,Synchrony Financial,-1.085155046927685
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,12,SFE.DE,Synchrony Financial R,-1.6275234280375495
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,13,AROW,Arrow Financial Corporation,-1.9092799213450802
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,14,FSBC,Five Star Bancorp,-2.5688073516508227
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,15,ENVA,"Enova International, Inc.",-2.7477746680793134
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,16,BPOP,"Popular, Inc.",-3.2364338750932613
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,17,RRBI,"Red River Bancshares, Inc.",-3.291988436677452
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,18,FBP,First BanCorp.,-3.354419208199006
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,19,TROW,"T. Rowe Price Group, Inc.",-4.5025159795593
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,20,HIG,"The Hartford Insurance Group, Inc.",-6.75470421179332
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,21,SEIC,SEI Investments Company,-7.0576632679615825
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,1,IMPP,Imperial Petroleum Inc.,0.4026055176228801
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,2,RAVE,"RAVE Restaurant Group, Inc.",0.3741333792590948
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,3,SYS1.L,System1 Group PLC,0.3388113821315273
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,4,INMD,InMode Ltd.,0.26461398026091226
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,5,AUDC,AudioCodes Ltd.,0.25606764212705124
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,6,ALFA.L,Alfa Financial Software Holdings PLC,0.22749454448932555
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,7,ASY.L,Andrews Sykes Group plc,0.20756486090670428
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,8,TSTL.L,Tristel PLC,0.199601756664591
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,9,BIJ.DE,Bijou Brigitte modische Accessoires AG,0.19119298455357125
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,10,WATR.L,Water Intelligence plc,0.17439940256494976
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,11,GASS,StealthGas Inc.,0.1685674141210134
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,12,SD,"SandRidge Energy, Inc.",0.15185498729845065
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,13,AJ91.DE,DocCheck AG,0.14192088925142035
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,14,CFX.L,Colefax Group Plc,0.1096650099669609
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,15,EVER,"EverQuote, Inc.",0.10754553699055863
