dropped,survivor,name,orig_sector,propagated_sector,issuer_group,non_canonical_tag,dropped_price,dropped_shares,dropped_marketCap,decided_by,dropped_vol_t,survivor_vol_t,dropped_isin_t,survivor_isin_t,dropped_volAvg,dropped_volAvg_asof,survivor_volAvg,survivor_volAvg_asof
0HQU.L,CF,"CF Industries Holdings, Inc.",Basic Materials,Basic Materials,0HQU.L|CF,lse-iob,108.26,153600000.0,16628736000.0,canonicity,1,0,0,0,2460.0,2026-08-13,2643474.0,2026-08-13
0VCO.L,PEY.TO,Peyto Exploration & Development Corp.,Energy,Energy,0VCO.L|PEY.TO,lse-iob,27.18,204779537.0,5565907815.66,canonicity,1,0,0,0,1305.0,2026-08-13,675582.0,2026-08-13
0RJ6.L,LOUP.PA,L.d.c. S.a.,Consumer Defensive,Consumer Defensive,0RJ6.L|LOUP.PA,lse-iob,100.6,35271000.0,3548262600.0,canonicity,1,0,0,0,59.0,2026-08-13,5360.0,2026-08-13
0VL5.L,TXG.TO,Torex Gold Resources Inc.,Basic Materials,Basic Materials,0VL5.L|TXG.TO,lse-iob,39.7408,93363973.0,3710358978.1984,canonicity,1,0,0,0,472.0,2026-08-13,569035.0,2026-08-13
FNV.TO,FNV,Franco-Nevada Corporation,Basic Materials,Basic Materials,0QYZ.L|FNV|FNV.TO,,247.05,192800000.0,47631240000.0,punctuation,0,0,0,0,392870.0,2026-08-13,845062.0,2026-08-13
0QYZ.L,FNV,Franco-Nevada Corporation,Basic Materials,Basic Materials,0QYZ.L|FNV|FNV.TO,lse-iob,247.05,192800000.0,47631240000.0,canonicity,1,0,0,0,894.0,2026-08-13,845062.0,2026-08-13
0EAQ.L,TNK,Teekay Tankers Ltd.,Industrials,Industrials,0EAQ.L|TNK,lse-iob,64.87,34797239.0,2257296893.93,canonicity,1,0,0,0,1334.0,2026-08-13,367467.0,2026-08-13
SHEL,SHEL.L,Shell plc,Energy,Energy,SHEL|SHEL.L|SHELL.AS,,77.7714,2794650000.0,217343921260.2,shares,0,0,-1,-2,6731949.0,2026-08-13,9288640.0,2026-08-13
SHELL.AS,SHEL.L,Shell plc,Energy,Energy,SHEL|SHEL.L|SHELL.AS,,38.8857,5589300000.0,217343921260.2,symbol_length,0,0,-2,-2,4191940.0,2026-08-13,9288640.0,2026-08-13
0KAN.L,OII,"Oceaneering International, Inc.",Energy,Energy,0KAN.L|OII,lse-iob,40.0429,100720000.0,4033117680.0,canonicity,1,0,0,0,346.0,2026-08-13,1073682.0,2026-08-13
HBM.TO,HBM,Hudbay Minerals Inc.,Basic Materials,Basic Materials,0AHJ.L|HBM|HBM.TO,,23.61,400356079.0,9452407025.19,punctuation,0,0,0,0,2385566.0,2026-08-13,5509645.0,2026-08-13
