pool,source,status,n_capped,metric_before,contrib_before,share_before,share_after,cap_value,base_before,base_after,agg_delta
general,ITRI,ok,0,incomeQuality,-0.1155391022395102,0.24864313528711834,0.24864313528711834,,0.46467843202705955,0.46467843202705955,0.0
general,OMCL,ok,0,earnYield,-0.1456249002569808,0.21723463079645539,0.21723463079645539,,0.6703576668373308,0.6703576668373308,0.0
general,PAYC,ok,0,interestCoverage,0.16785223115399298,0.23535996050243835,0.23535996050243835,,0.713172413845022,0.713172413845022,0.0
general,STE,ok,0,earnYield,-0.10304771796526468,0.21121157877184613,0.21121157877184613,,0.48788858340279895,0.48788858340279895,0.0
general,SHEL.L,ok,0,earnYield,0.10624897867107676,0.14937044093644722,0.14937044093644722,,0.7113119436815656,0.7113119436815656,0.0
general,NEXN,ok,0,incomeQuality,0.1398320638364713,0.14224213978563696,0.14224213978563696,,0.9830565263374291,0.9830565263374291,0.0
general,GMED,ok,0,currentRatio,0.09235449387957405,0.13070604057529203,0.13070604057529203,,0.7065816810996893,0.7065816810996893,0.0
general,QLYS,ok,0,incomeQuality,0.12443354580936693,0.16111256541545524,0.16111256541545524,,0.7723391747161035,0.7723391747161035,0.0
general,OPLN,ok,0,earnYield,-0.10845862517066468,0.1707625300322913,0.1707625300322913,,0.6351429974137481,0.6351429974137481,0.0
general,COP,ok,0,incomeQuality,0.13430643348806684,0.24323594758513659,0.24323594758513659,,0.5521652322424808,0.5521652322424808,0.0
general,0QW8.L,ok,1,freeCashFlowPerShareGrowth,0.191418670275916,0.35297174751621185,0.24999999999999997,0.11696241846826362,0.5423059256807068,0.46784967387305454,-0.07445625180765236
general,ERIC,ok,0,earnYield,-0.14231648807044117,0.20058568785024578,0.20058568785024578,,0.7095046989428901,0.7095046989428901,0.0
general,HWX.TO,ok,0,incomeQuality,0.20579700553164462,0.1832240033195232,0.1832240033195232,,1.1231989357461887,1.1231989357461887,0.0
general,ALIG.ST,ok,0,incomeQuality,-0.07192140985339411,0.14845550324744777,0.14845550324744777,,0.48446442388541483,0.48446442388541483,0.0
general,CTS,ok,0,currentRatio,0.05032300871432511,0.1261873586933485,0.1261873586933485,,0.39879595892498626,0.39879595892498626,0.0
