source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
0RFX.L,ejected_below_floor,47480.706,2026-08-21|CHF,1000000.0
0VJA.L,ejected_below_floor,27586.637400000003,2026-08-21|CAD,1000000.0
0J7X.L,ejected_below_floor,60964.047139999995,2026-08-21|EUR,1000000.0
TIMA.DE,ejected_below_floor,184974.58534799996,2026-08-21|EUR,1000000.0
ALCAF.PA,ejected_below_floor,23852.30436,2026-08-21|EUR,1000000.0
DPAM.PA,ejected_below_floor,10139.501999999999,2026-08-21|EUR,1000000.0
072130.KS,ejected_below_floor,220926.2108145495,2026-08-21|KRW,1000000.0
IOF.L,ejected_below_floor,257578.1145,2026-08-21|GBp,1000000.0
0AH3.L,ejected_below_floor,22354.7324,2026-08-21|CAD,1000000.0
VIL.PA,ejected_below_floor,285494.81107199995,2026-08-21|EUR,1000000.0
FDX.DE,ejected_below_floor,28164.50636,2026-08-21|EUR,1000000.0
BAR.BR,ejected_below_floor,705167.3536816,2026-08-21|EUR,1000000.0
0JW2.L,ejected_below_floor,888723.64,2026-08-21|USD,1000000.0
SII.DE,ejected_below_floor,203579.63915,2026-08-21|EUR,1000000.0
AFGB,ejected_below_floor,172376.6,2026-08-21|USD,1000000.0
AFGD,ejected_below_floor,183576.9,2026-08-21|USD,1000000.0
AFGE,ejected_below_floor,135248.87999999998,2026-08-21|USD,1000000.0
VX1.DE,ejected_below_floor,50064.140763,2026-08-21|EUR,1000000.0
HCO.PA,ejected_below_floor,56391.1084288,2026-08-21|EUR,1000000.0
0KGE.L,ejected_below_floor,133947.24,2026-08-21|USD,1000000.0
CCZ,ejected_below_floor,10033.9349,2026-08-21|USD,1000000.0
PCX.DE,ejected_below_floor,10672.4435488,2026-08-21|EUR,1000000.0
ALLOG.PA,ejected_below_floor,128003.41349168,2026-08-21|EUR,1000000.0
AJ91.DE,ejected_below_floor,8231.877072,2026-08-21|EUR,1000000.0
ZZ-B.ST,ejected_below_floor,834659.111024,2026-08-21|SEK,1000000.0
WEYS,ejected_below_floor,970830.8400000001,2026-08-21|USD,1000000.0
0HW9.L,ejected_below_floor,902.8280000000001,2026-08-21|SEK,1000000.0
0KV3.L,ejected_below_floor,853305.89,2026-08-21|USD,1000000.0
058630.KQ,ejected_below_floor,202775.097388035,2026-08-21|KRW,1000000.0
0A18.L,ejected_below_floor,10442.457344,2026-08-21|CAD,1000000.0
366030.KQ,ejected_below_floor,437007.5865585045,2026-08-21|KRW,1000000.0
094280.KS,ejected_below_floor,144284.2152282,2026-08-21|KRW,1000000.0
0QYN.L,ejected_below_floor,140500.47647999998,2026-08-21|CAD,1000000.0
COZ.DE,ejected_below_floor,17682.708757999997,2026-08-21|EUR,1000000.0
KCC.OL,ejected_below_floor,460403.87328,2026-08-21|NOK,1000000.0
0EEV.L,ejected_below_floor,53917.209795999996,2026-08-21|EUR,1000000.0
EXM.BR,ejected_below_floor,20175.977336,2026-08-21|EUR,1000000.0
0N66.L,ejected_below_floor,306839.51169599994,2026-08-21|EUR,1000000.0
SYS1.L,ejected_below_floor,143260.74609,2026-08-21|GBp,1000000.0
119610.KQ,ejected_below_floor,747211.002261723,2026-08-21|KRW,1000000.0
0NCA.L,ejected_below_floor,16399.420752,2026-08-21|EUR,1000000.0
215000.KQ,ejected_below_floor,763952.396256075,2026-08-21|KRW,1000000.0
CTP2.DE,ejected_below_floor,191951.68156559998,2026-08-21|EUR,1000000.0
0HGC.L,ejected_below_floor,251094.92,2026-08-21|USD,1000000.0
ALS.DE,ejected_below_floor,3549.6415220000004,2026-08-21|EUR,1000000.0
0F6L.L,ejected_below_floor,791658.6285387,2026-08-21|EUR,1000000.0
0R3D.L,ejected_below_floor,193188.87,2026-08-21|USD,1000000.0
MZX.DE,ejected_below_floor,21649.235322,2026-08-21|EUR,1000000.0
SINT.ST,ejected_below_floor,52901.94152,2026-08-21|SEK,1000000.0
CARE.ST,ejected_below_floor,35861.000032,2026-08-21|SEK,1000000.0
AFGC,ejected_below_floor,190032.00000000003,2026-08-21|USD,1000000.0
NIL-B.ST,ejected_below_floor,137397.11013600003,2026-08-21|SEK,1000000.0
WWIB.OL,ejected_below_floor,428468.81039999996,2026-08-21|NOK,1000000.0
ELEC.PA,ejected_below_floor,535794.361788,2026-08-21|EUR,1000000.0
107590.KS,ejected_below_floor,26206.15891626,2026-08-21|KRW,1000000.0
0UGS.L,ejected_below_floor,249047.00582400002,2026-08-21|CAD,1000000.0
0VQD.L,ejected_below_floor,608292.2999999999,2026-08-21|USD,1000000.0
JIM.L,ejected_below_floor,3608.8400152,2026-08-21|GBp,1000000.0
UT8.DE,ejected_below_floor,928102.6028736,2026-08-21|EUR,1000000.0
ET.TO,ejected_below_floor,416083.90617599996,2026-08-21|CAD,1000000.0
XTC.TO,ejected_below_floor,93450.97958400002,2026-08-21|CAD,1000000.0
053210.KS,ejected_below_floor,129296.2890786045,2026-08-21|KRW,1000000.0
ALGIL.PA,ejected_below_floor,74227.681216,2026-08-21|EUR,1000000.0
ABL.DE,ejected_below_floor,144865.9321056,2026-08-21|EUR,1000000.0
SHF.DE,ejected_below_floor,20120.268348,2026-08-21|EUR,1000000.0
0D1X.L,ejected_below_floor,2340.127134,2026-08-21|EUR,1000000.0
003100.KQ,ejected_below_floor,482017.82491163997,2026-08-21|KRW,1000000.0
0HCZ.L,ejected_below_floor,538567.38,2026-08-21|USD,1000000.0
0NJB.L,ejected_below_floor,1347.7379439999997,2026-08-21|EUR,1000000.0
TFW.L,ejected_below_floor,169706.3434507,2026-08-21|GBp,1000000.0
