pool,source,n_flags,flags,status,note
general,SBUX,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,SCATC.OL,1,netDebtToEBITDA,EJECTED,
general,SCI,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,SDE.TO,1,uCurrentRatio,EJECTED,
general,SECU-B.ST,1,netDebtToEBITDA,EJECTED,
general,SEER,1,returnOnAssets,EJECTED,
general,SESG.PA,1,returnOnAssets,EJECTED,
general,SEYE.ST,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,SFIX,1,returnOnAssets,EJECTED,
general,SFOR.L,1,returnOnAssets,EJECTED,
general,SGHT,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,SGI,1,netDebtToEBITDA,EJECTED,
general,SGY.TO,1,uCurrentRatio,EJECTED,
general,SHIP,1,uCurrentRatio,EJECTED,
general,SHOT.ST,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,SIA.TO,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,SIBN,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,SILC,1,returnOnAssets,EJECTED,
general,SINCH.ST,2,"uCurrentRatio, uInterestCoverage",EJECTED,
general,SIVE.ST,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,SJM,1,uCurrentRatio,EJECTED,
general,SKIN,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,SKYX,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,SLAB,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,SMC,3,"netDebtToEBITDA, uCurrentRatio, uInterestCoverage",EJECTED,
general,SMHN.DE,1,CFOlessEarnings,EJECTED,
general,SMMT,1,returnOnAssets,EJECTED,
general,SNAP,2,"netDebtToEBITDA, uInterestCoverage",EJECTED,
general,SO,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,SOC,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,SON.LS,1,uCurrentRatio,EJECTED,
general,SOP.PA,1,uCurrentRatio,EJECTED,
general,SPIE.PA,1,uCurrentRatio,EJECTED,
general,SPRB,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,SPRY,1,returnOnAssets,EJECTED,
general,SRE,1,netDebtToEBITDA,EJECTED,
general,SRT3.DE,1,netDebtToEBITDA,EJECTED,
general,SVV,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,T,1,uCurrentRatio,EJECTED,
general,TAC,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,TAP,1,uCurrentRatio,EJECTED,
general,TARA,1,returnOnAssets,EJECTED,
general,TARS,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,TDSA.LS,1,netDebtToEBITDA,EJECTED,
general,TE,1,returnOnAssets,EJECTED,
general,TEAM,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,TEL2-B.ST,1,uCurrentRatio,EJECTED,
general,TELIA.ST,1,uCurrentRatio,EJECTED,
general,TGS.OL,1,uCurrentRatio,EJECTED,
general,THG.L,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,TITN,1,uInterestCoverage,EJECTED,
general,TKA.DE,1,uInterestCoverage,EJECTED,
general,TLRY.TO,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,TMCI,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,TMUS,1,netDebtToEBITDA,EJECTED,
general,TMV.DE,1,uCurrentRatio,EJECTED,
general,TNL,1,netDebtToEBITDA,EJECTED,
general,TOU.TO,1,uCurrentRatio,EJECTED,
general,TRGP,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,TRI,1,uCurrentRatio,EJECTED,
general,TRN.L,1,uCurrentRatio,EJECTED,
general,TRP,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,TRVI,1,returnOnAssets,EJECTED,
general,TSAT,1,uInterestCoverage,EJECTED,
general,TU,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,TUI1.DE,1,uCurrentRatio,EJECTED,
general,TWM.TO,1,returnOnAssets,EJECTED,
general,TYRA,1,returnOnAssets,EJECTED,
general,UBI.PA,1,uInterestCoverage,EJECTED,
general,UL,1,uCurrentRatio,EJECTED,
general,UMG.AS,1,uCurrentRatio,EJECTED,
general,UNH,1,uCurrentRatio,EJECTED,
general,UNP,1,uCurrentRatio,EJECTED,
general,VAR.OL,1,uCurrentRatio,EJECTED,
general,VEI.OL,1,uCurrentRatio,EJECTED,
general,VELO,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,VERU,1,returnOnAssets,EJECTED,
general,VIE.PA,1,uCurrentRatio,EJECTED,
general,VIT-B.ST,1,uCurrentRatio,EJECTED,
general,VLA.PA,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,VLRS,2,"uCurrentRatio, uInterestCoverage",EJECTED,
general,VOD.L,1,netDebtToEBITDA,EJECTED,
general,VOW.DE,1,netDebtToEBITDA,EJECTED,
general,VPK.AS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,VPLAY-B.ST,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,VRSN,1,uCurrentRatio,EJECTED,
general,VTRS,1,netDebtToEBITDA,EJECTED,
general,VTVT,1,returnOnAssets,EJECTED,
general,VZ,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,WAF.DE,1,netDebtToEBITDA,EJECTED,
general,WCN,1,uCurrentRatio,EJECTED,
general,WCP.TO,1,uCurrentRatio,EJECTED,
general,WEN,1,netDebtToEBITDA,EJECTED,
general,WEX,1,netDebtToEBITDA,EJECTED,
general,WHWK,1,returnOnAssets,EJECTED,
general,WKL.AS,1,uCurrentRatio,EJECTED,
general,WLFC,1,netDebtToEBITDA,EJECTED,
general,WM,1,uCurrentRatio,EJECTED,
general,WMB,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,WMT,1,uCurrentRatio,EJECTED,
general,WPRT,1,returnOnAssets,EJECTED,
general,WWW,1,netDebtToEBITDA,EJECTED,
general,WYNN,1,netDebtToEBITDA,EJECTED,
general,XGN,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,XMTR,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,XPOF,1,returnOnAssets,EJECTED,
general,XPP.L,1,netDebtToEBITDA,EJECTED,
general,XRX,2,"netDebtToEBITDA, returnOnAssets",EJECTED,
general,YORW,1,netDebtToEBITDA,EJECTED,
general,ZS,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,ZURA,1,returnOnAssets,EJECTED,
general,ZYME,1,returnOnAssets,EJECTED,
