,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score,CycleHeat,moatScore
78,K.TO,42.3400,13.0525,1.1990,Basic Materials,Neutral,2.8300,0.1180,0.1977,45.5558,0.4420,-0.4659,3.5000,-0.565498385284464,5
79,TRT.L,135.0000,7.3267,-0.0200,Consumer Cyclical,Buy,3.4150,0.0000,0.0054,86.7904,NaN,0.3539,3.0000,0.7139618237827546,4
80,MU,339.5500,12.3589,1.5030,Technology,Neutral,2.4598,0.0517,0.2180,43.8050,-0.0838,-1.6661,3.5000,-0.565498385284464,4
81,HRTG,26.4500,3.8564,0.9810,Financial Services,Buy,0.0000,0.0000,0.8621,25.1685,2.5294,inf,3.5000,-0.565498385284464,3
82,0DTF.L,30.2000,8.5559,0.3410,Healthcare,Buy,2.3912,5.3572,0.5859,73.2876,1.7057,-0.3477,2.0000,0.7139618237827546,5
83,EGO,38.0100,26.4288,1.2770,Basic Materials,Neutral,2.7941,0.0000,0.2933,48.4601,0.0950,-0.7434,4.0000,-0.565498385284464,3
84,ELD.TO,52.6000,26.4288,1.2770,Basic Materials,Neutral,2.7941,0.0000,0.2119,48.4601,0.1016,-0.7377,4.0000,-0.17621377237678568,3
85,F3A.DE,205.1000,12.9703,1.5970,Energy,Neutral,1.9100,0.0000,0.4371,40.5312,-0.2881,-0.3509,4.0000,-0.565498385284464,3
86,FSLR,241.1100,12.9703,1.5970,Energy,Neutral,1.9100,0.0000,0.3718,40.5312,-0.3527,-0.3442,4.0000,-0.565498385284464,3
87,0R06.L,238.3400,12.9703,1.5970,Technology,Neutral,1.9100,0.0000,0.3762,40.5312,-0.3527,-0.3442,4.0000,-0.565498385284464,3
88,KIN2.DE,25.7800,13.0525,1.1990,Basic Materials,Buy,2.8300,0.1180,0.3247,45.5558,0.3186,-0.4562,3.5000,-0.565498385284464,5
