source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
0R9T.L,ejected_below_floor,40074.28667200001,2026-08-21|EUR,1000000.0
DKUPL.PA,ejected_below_floor,33477.66144,2026-08-21|EUR,1000000.0
0LVJ.L,ejected_below_floor,16558.47,2026-08-21|USD,1000000.0
OZKAP,ejected_below_floor,391411.02,2026-08-21|USD,1000000.0
NTG.DE,ejected_below_floor,130186.84728000002,2026-08-21|EUR,1000000.0
016580.KS,ejected_below_floor,319949.4252456096,2026-08-21|KRW,1000000.0
ABSO.ST,ejected_below_floor,55036.76325,2026-08-21|SEK,1000000.0
SDG.L,ejected_below_floor,112779.60410639999,2026-08-21|GBp,1000000.0
TM5.DE,ejected_below_floor,195584.1695168,2026-08-21|EUR,1000000.0
ODF.OL,ejected_below_floor,468751.04404799995,2026-08-21|NOK,1000000.0
016880.KS,ejected_below_floor,447377.31044797244,2026-08-21|KRW,1000000.0
MACF.L,ejected_below_floor,206119.9014875,2026-08-21|GBp,1000000.0
COMB.BR,ejected_below_floor,116531.76000000001,2026-08-21|EUR,1000000.0
CEN.PA,ejected_below_floor,91093.05072000001,2026-08-21|EUR,1000000.0
0RQO.L,ejected_below_floor,380366.041134471,2026-08-21|SEK,1000000.0
VTAS.L,ejected_below_floor,19100.0272176,2026-08-21|GBp,1000000.0
0OPJ.L,ejected_below_floor,207944.79185920002,2026-08-21|EUR,1000000.0
HP3A.DE,ejected_below_floor,6712.229376000001,2026-08-21|EUR,1000000.0
FCMC.PA,ejected_below_floor,59692.08960000001,2026-08-21|EUR,1000000.0
ZOE.DE,ejected_below_floor,184322.00685120004,2026-08-21|EUR,1000000.0
DECB.BR,ejected_below_floor,236055.17436160002,2026-08-21|EUR,1000000.0
ALLEX.PA,ejected_below_floor,166302.99648,2026-08-21|EUR,1000000.0
TEL2-A.ST,ejected_below_floor,19195.476300000002,2026-08-21|SEK,1000000.0
CHEF.ST,ejected_below_floor,477196.2804,2026-08-21|SEK,1000000.0
MEDI.OL,ejected_below_floor,527589.2628,2026-08-21|NOK,1000000.0
ARC.L,ejected_below_floor,12500.4594939,2026-08-21|GBp,1000000.0
CEVI.ST,ejected_below_floor,669076.11428,2026-08-21|SEK,1000000.0
UB5.DE,ejected_below_floor,5094.9540704,2026-08-21|EUR,1000000.0
0HTF.L,ejected_below_floor,28855.781167278,2026-08-21|NOK,1000000.0
0EEV.L,ejected_below_floor,53642.409952,2026-08-21|EUR,1000000.0
0YG7.L,ejected_below_floor,26968.068750000002,2026-08-21|SEK,1000000.0
BERNER-B.ST,ejected_below_floor,331201.36455,2026-08-21|SEK,1000000.0
SEC.TO,ejected_below_floor,47056.3425,2026-08-21|CAD,1000000.0
035150.KS,ejected_below_floor,238962.8336721325,2026-08-21|KRW,1000000.0
OMV.DE,ejected_below_floor,565752.1287600001,2026-08-21|EUR,1000000.0
ELC,ejected_below_floor,373243.7588,2026-08-21|USD,1000000.0
COH.PA,ejected_below_floor,24946.49304,2026-08-21|EUR,1000000.0
ALMDG.PA,ejected_below_floor,63960.978432,2026-08-21|EUR,1000000.0
ORIA.PA,ejected_below_floor,6159.37024,2026-08-21|EUR,1000000.0
CAT1.DE,ejected_below_floor,880917.9553280001,2026-08-21|EUR,1000000.0
039570.KS,ejected_below_floor,113688.3074878432,2026-08-21|KRW,1000000.0
0HW4.L,ejected_below_floor,311092.25,2026-08-21|USD,1000000.0
0KXA.L,ejected_below_floor,253565.83000000002,2026-08-21|USD,1000000.0
